,customer_unique_id,R,F,M
1181,031cbbcf2be8c834d2d5d25d3ee49926,10270948.0,1.5849625007211563,6.449726433253184
1184,031e19fc630c4121f1238716f41675c3,9130217.0,1.5849625007211563,5.207111961207714
1185,031ea691b99fc101dcad357d1a83573f,40071705.0,1.5849625007211563,6.21023299009585
1193,03241d5fec570b04acb3869bb343d8cb,6560369.0,1.5849625007211563,5.265286857565172
1203,032b3a42598667caf2e099999b9dc1b9,7330364.0,1.5849625007211563,8.956985924612576
1221,0333b2fc6ba7014702e08ef613850270,29854121.0,1.5849625007211563,6.554588851677638
1225,0334ba9c67b6f75abf243ebfcc46de6b,24870711.0,2.321928094887362,4.954196310386876
1242,0341bbd5c969923a0f801b9e2d10a7b8,12112215.0,1.5849625007211563,10.966274717607112
1278,035df089079c12357e9de09e7e608177,8696563.0,1.5849625007211563,6.820817181864166
1279,035e7cd88b7450fd33efeca817081a53,9246568.0,1.5849625007211563,7.201535848666411
1283,03608653642e4fea136e39e9382d74f2,45515015.0,1.5849625007211563,6.190812367916136
1284,0361e980b28826f4d286ac144d9b319a,9329204.0,1.5849625007211563,8.838951766951944
1318,037825369fca3cecc1c05ebbce8b7f96,28251583.0,1.5849625007211563,6.059831136192822
1340,038301b43811478e1a8dc0e476eaf52e,16230686.0,1.5849625007211563,9.336573504662631
1370,0396c443fdda5498c7e9ed5b34871c5a,45823520.0,1.5849625007211563,6.928844036712568
1438,03d4953a455f8489e712ea80699de878,7609469.0,1.5849625007211563,6.202613620148487
1451,03dabd77cb0ed7a26fafe19e36b67742,44954161.0,1.5849625007211563,6.65033375384593
1473,03ef7f03905227e15c7b6c860554b3cb,7878179.0,1.5849625007211563,7.904183003245027
1499,03fd9f7966e4ffe00c2ca9705132171b,13351390.0,2.0,5.43596189543763
1505,040405db5973c3f48155ed4280b29b86,13940384.0,1.5849625007211563,7.279285560846543
1537,041b7e4ea440a4636a6c77ca8397128c,29711982.0,2.0,6.625124341875112
1539,041caba6a63ace5818387698ea85cdb2,12627585.0,2.0,7.271089466265599
