customer_unique_id,R,F,M
133e20311ec257bda38f1798250d38c5,45566604.0,2,782.4300000000001
13473af264dea0facd893d6516900b22,13748177.0,2,135.17000000000002
13607978e0686d841deb64954c023495,24695551.0,2,119.87
13613cae6e3bfea8327a916246c96cc9,25598965.0,2,114.75
1372bab98f9966bcd4a6fa3e6df6dde8,23749822.0,2,245.29000000000002
1373e04979cfa0fb2092909abbd57f25,14452515.0,3,609.12
139093b1c6e7e3108ac0469ce43bfb99,5562151.0,2,349.12
13abc50b97af7425b5066e405d7cd760,45607367.0,2,148.31
13aec51202205c662b24202760e93a92,53858853.0,2,100.46000000000001
13bf0b4120921402dff563cda4383ff6,7347432.0,2,196.5
1412559410af5e92c35e053fd6acd006,22457695.0,2,197.16000000000003
142575266950512b56af193f3962270a,20934803.0,2,254.38
142dc6250eac579893595d9889411834,12085480.0,2,240.92
1450ca0539e1e64a77c08ba841c8be94,8012981.0,2,290.37
1477c54a1abe3610e3e9ab411801cecb,31855280.0,2,258.67
14843983d4a159080f6afe4b7f346e7c,19784558.0,2,77.8
149c19901ddcd1057deaabc003004a12,35869223.0,2,439.44
14a188558af6cd5bc222ca773d395a7f,19347054.0,2,245.14999999999998
14d46ad43ae7e3cd6944258b9840373b,50009968.0,2,255.86
1500da334da019c68fda219f942ba38a,13506981.0,2,596.76
1501fb94311512e6b98462d159e05a23,15911061.0,2,556.58
1506abf10c09a2872e24d79f33e4eb12,16879615.0,2,470.9
151e9edb34867eaece4d6e7ae188f261,10262215.0,2,439.53999999999996
155af62b6c947689a67af5c16acd5c55,21167128.0,2,463.72
156283b6ca35ef976a0265903145fd5e,7341403.0,2,82.0
1581a918a58a11d99c69f86d9c0d2098,16249550.0,2,234.99
158ff08f9b1aeebfa96820580f3877a6,22355524.0,2,305.76
1590457b4be348b165ff7030a6f94dce,40517809.0,2,177.75
159306b86e782097be9a4e29e3d294d3,23429139.0,2,157.47
15a38a0c1bf789e06ec42d24e485e794,23855319.0,2,231.88
15a52a044cbf18c87283f8c460ad5ccf,5622119.0,2,68.11
15d2493aa522c1040d639aa74bd1fb31,18223690.0,2,286.23
15eb6c5aa4aa23cbdb42e119220d23ec,31388187.0,2,436.88
161b2eb506dd664bb5d23dc701a14b59,39307538.0,2,314.39
1647c6dc2941bd075dc5dd3448807bed,36535581.0,2,239.62
1650819cd492bbf4b9d189c7d4126475,23437276.0,2,362.84000000000003
165d93a9d1da194b47da42c9cf810ebd,35315597.0,2,604.79
16a23480d3c92eb40e134844d52aa63e,15316594.0,2,148.36
16a909e83380bb2ae4676ca69ac30886,19575869.0,2,243.54
16bd767d18bf82bb09fc51520f7ea5ab,27378335.0,2,131.42
16c8e42089546fde55ed3caa46478e7a,17374377.0,2,176.13
1741b0bef7ccbc530ba7287000d5f49f,15477487.0,2,337.59000000000003
175b8225bdd99e95a64e07a6c06e8746,22832620.0,2,425.24
176c21456fab655afee57b3ea9799f47,4950867.0,2,132.94
176df29483e4fb6ce1d6dd1c824ad72d,13601893.0,2,153.7
1772d62f5099be6942fbb3d3e881cc7c,15026696.0,2,192.14
177c725937ae5f96171bb8b43f196dfa,46408850.0,2,220.32999999999998
